1,1,214462,100,DH17DTA,2,LT,\N,\N,\N
2,1,214462,50,DH17DTB,1,TH,\N,\N,\N
3,1,214462,50,DH17DTB,1,TH,\N,\N,\N
4,1,214462,50,DH17DTA,2,TH,\N,\N,\N
5,1,214462,50,DH17DTA,2,TH,\N,\N,\N
6,2,214379,100,DH16DTA-B-C,3,LT,\N,\N,\N
7,2,214379,50,DH16DTA-B-C,3,TH,\N,\N,\N
8,2,214379,50,DH16DTA-B-C,3,TH,\N,\N,\N
9,2,214361,80,DH17DTC,4,LT,\N,\N,\N
10,2,214361,40,DH17DTC,4,TH,\N,\N,\N
11,2,214361,40,DH17DTC,4,TH,\N,\N,\N
12,3,214103,40,TINCHI20,5,LT,\N,\N,\N
13,3,214103,40,TINCHI20,5,LT,\N,\N,\N
14,3,214103,80,DH19DT,6,LT,\N,\N,\N
15,3,214103,40,DH19DT,6,TH,\N,\N,\N
16,3,214103,40,DH19DT,6,TH,\N,\N,\N
17,4,214251,80,DH18DTA,7,LT,\N,\N,\N
18,4,214251,80,DH18DTB,8,LT,\N,\N,\N
19,4,214251,80,DH18DTC,9,LT,\N,\N,\N
20,4,214251,40,DH18DTA,7,TH,\N,\N,\N
21,4,214251,40,DH18DTA,7,TH,\N,\N,\N
22,4,214251,40,DH18DTB,8,TH,\N,\N,\N
23,4,214251,40,DH18DTB,8,TH,\N,\N,\N
24,4,214251,40,DH18DTC,9,TH,\N,\N,\N
25,4,214251,40,DH18DTC,9,TH,\N,\N,\N
26,4,214271,80,DH16DTA-B-C,10,LT,\N,\N,\N
27,4,214271,40,DH16DTA-B-C,10,TH,\N,\N,\N
28,4,214271,40,DH16DTA-B-C,10,TH,\N,\N,\N
29,5,214462,80,DH17DTC,11,LT,\N,\N,\N
30,5,214462,40,DH17DTC,11,TH,\N,\N,\N
31,5,214462,40,DH17DTC,11,TH,\N,\N,\N
32,5,214321,100,DH19DT,12,LT,\N,\N,\N
33,5,214321,50,DH19DT,12,TH,\N,\N,\N
34,5,214321,50,DH19DT,12,TH,\N,\N,\N
35,5,214461,80,DH17DTB,13,LT,\N,\N,\N
36,5,214461,40,DH17DTB,13,TH,\N,\N,\N
37,5,214461,40,DH17DTB,13,TH,\N,\N,\N
38,6,214483,120,DH16DTA-B-C,14,LT,\N,\N,\N
39,6,214483,40,DH16DTA-B-C,14,TH,\N,\N,\N
40,6,214483,40,DH16DTA-B-C,14,TH,\N,\N,\N
41,6,214483,40,DH16DTA-B-C,14,TH,\N,\N,\N
42,6,214441,80,DH18DTA,15,LT,\N,\N,\N
43,6,214441,40,DH18DTA,15,TH,\N,\N,\N
44,6,214441,40,DH18DTA,15,TH,\N,\N,\N
45,7,214488,60,TINCHI7,16,LT,\N,\N,\N
46,7,214488,60,TINCHI7,16,TH,\N,\N,\N
47,7,214461,80,DH17DTA,17,LT,\N,\N,\N
48,7,214461,40,DH17DTA,17,TH,\N,\N,\N
49,7,214461,40,DH17DTA,17,TH,\N,\N,\N
50,8,214343,100,DH17DTA-B-C,18,LT,\N,\N,\N
51,8,214343,50,DH17DTA-B-C,18,TH,\N,\N,\N
52,8,214343,50,DH17DTA-B-C,18,TH,\N,\N,\N
53,8,214321,50,DH19DT,19,LT,\N,\N,\N
54,8,214321,50,DH19DT,19,TH,\N,\N,\N
55,9,214274,100,DH16DTA-B-C,20,LT,\N,\N,\N
56,9,214274,50,DH16DTA-B-C,20,TH,\N,\N,\N
57,9,214274,50,DH16DTA-B-C,20,TH,\N,\N,\N
58,9,214274,50,TINCHI7,20,LT,\N,\N,\N
59,9,214274,50,TINCHI7,20,TH,\N,\N,\N
60,9,214103,40,TINCHI20,21,LT,\N,\N,\N
61,9,214103,40,DH19DT,21,LT,\N,\N,\N
62,9,214103,40,DH19DT,21,LT,\N,\N,\N
63,9,214361,80,DH17DTA,22,LT,\N,\N,\N
64,9,214361,40,DH17DTA,22,TH,\N,\N,\N
65,9,214361,40,DH17DTA,22,TH,\N,\N,\N
66,10,214241,90,DH18DTA,23,LT,\N,\N,\N
67,10,214241,90,DH18DTB,23,LT,\N,\N,\N
68,10,214241,90,DH18DTC,23,LT,\N,\N,\N
69,10,214252,105,DH17DTA,24,LT,\N,\N,\N
70,10,214252,105,DH17DTB,24,LT,\N,\N,\N
71,10,214252,105,DH17DTC,24,LT,\N,\N,\N
72,10,214286,50,DH15DTA-B-C,26,LT,\N,\N,\N
73,10,214286,50,DH15DTA-B-C,26,TH,\N,\N,\N
74,11,214321,100,DH19DT,27,LT,\N,\N,\N
75,11,214321,50,DH19DT,27,TH,\N,\N,\N
76,11,214321,50,DH19DT,27,TH,\N,\N,\N
77,11,214441,80,DH18DTC,28,LT,\N,\N,\N
78,11,214441,40,DH18DTC,28,TH,\N,\N,\N
79,11,214441,40,DH18DTC,28,TH,\N,\N,\N
80,12,214361,80,DH17DTB,29,LT,\N,\N,\N
81,12,214361,40,DH17DTB,29,TH,\N,\N,\N
82,12,214361,40,DH17DTB,29,TH,\N,\N,\N
83,12,214383,100,DH16DTA-B-C,30,LT,\N,\N,\N
84,12,214383,50,DH16DTA-B-C,30,TH,\N,\N,\N
85,12,214383,50,DH16DTA-B-C,30,TH,\N,\N,\N
86,13,214103,40,TINCHI20,31,LT,\N,\N,\N
87,13,214201,80,DH19DT,32,LT,\N,\N,\N
88,13,214201,80,DH19DT,32,LT,\N,\N,\N
89,13,214201,40,DH19DT,32,TH,\N,\N,\N
90,13,214201,40,DH19DT,32,TH,\N,\N,\N
91,13,214201,40,DH19DT,32,TH,\N,\N,\N
